id,body,picture,actor,time,feed_order,post_class,ZA,AL,RV,SN,Normal,ALID_1_control,ALID_2_health effects,ALID_3_social impact,RVID_1_healthy formal,RVID_2_healthy informal,RVID_3_unhealthy formal,RVID_4_unhealthy informal,SNID_1_drinking,SNID_2_drinking myth,SNID_3_ drinking myth intervene,Norm_1,norm_2,Norm_3,likes,,time_reverse
58,The look in his eyes 👁👁,post58.png,KamiT,-7:21:28,200,normal,,,,,,,,,,,,,,,,,,,,,-7:21:28
59,I have no idea what I'm doing,post59.png,KamiT,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
60,Florida sunrise 😍😍😍,post60.png,Lisaaa84,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
61,Campus squirrel says recycle!,post61.png,Lisaaa84,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
62,Reason number 14969305 that I love this place 😇🥰🌇 #homeawayfromhome,post62.png,BeatDaTrice,-5:49:25,,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
63,Eating and playing like champs this past weekend,post63.png,BeatDaTrice,-5:51:12,140,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
64,Buddha Bowls with my bestie ;),post64.png,sofiaberger,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
65,"Just an appreciation post for our home (and my new camera, thanks mom and dad)",post65.png,sofiaberger,-5:49:25,,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
66,#nofilter,post66.png,ArchiesAdventures,-5:51:12,,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
67,Living my best life! Great weekend in Asheville!,post67.png,ArchiesAdventures,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
68,Matching galentine's day socks 😊,post68.png,sweetietooth,-7:10:44,28,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
69,polaroids on craige deck,post69.png,sweetietooth,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
70,"In today’s world, we easily get caught up in our daily lives, stressing about what we have to do and when we have to do it. We forget to take care of ourselves and take needed time to relax. So today’s tip is to take the time you need to relax, whether it be five minutes or an entire weekend. Featured in today’s post are Kathy, Elaine, and Jenna enjoying a much needed stress relief at the beach! Comment the ways you relax from a stressful day!",post70.png,anabohnana,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
71,"Spending time with friends is our favorite thing to do these days! Staying connected with those around us is so important during hard times. Support those around you and know that it’s okay to ask for help if you are struggling, someone will always be there for you",post71.png,anabohnana,-7:14:21,,normal,,,,,,,,,,,,,,,,,,,,,-7:14:21
72,My March cover for my planner. Hope it’s a great month for all,post72.png,vilbert,-7:21:28,,normal,,,,,,,,,,,,,,,,,,,,,-7:21:28
73,Roaming the streets of Monaco will forever be one of my favorite things to do,post73.png,vilbert,-7:33:49,27,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
74,last meal with my favorite people & favorite city! not pictured: bottle of cider that meagen dropped and exploded on the metro.,post74.png,angeletti,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
75,at the beach :-),post75.png,angeletti,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
76,First time making Biscotti this weekend! Great British Baking Show here I come!,post76.png,chaelson,-5:49:25,,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
77,Jumping for joy over how much snow we got!!!,post77.png,chaelson,-5:51:12,,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
78,💛Mtn sunsets are just different,post78.png,daharms,-7:10:44,29,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
79,Spreading love and happiness all the way to Maui <3,post79.png,daharms,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
80,Imagine spending your entire office budget on a couch,post80.png,aleeboi,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
81,Dog: “When did I say you could take this picture of me?”,post81.png,aleeboi,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
82,The lake was so beautiful this weekend and I loved getting out of town. The views from the water during sunset are so relaxing and helped me destress from a busy midterm season at school. Thank you UNC for the wellness weekend!,post82.png,debby_sims,-7:14:21,,normal,,,,,,,,,,,,,,,,,,,,,-7:14:21
83,"It was a dream come true to finally attend my first UNC basketball game as a student. After all of the challenges that Covid has thrown at my freshman year, it has been really hard for me to feel connected to UNC and feel like a student. This experience with Boyce was amazing and GO HEELS!! #GDTBATH",post83.png,debby_sims,-7:21:28,,normal,,,,,,,,,,,,,,,,,,,,,-7:21:28
84,beach days with my georgie🥰☀,post84.png,lisapowell,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
85,afternoon view😍💙,post85.png,lisapowell,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
86,The wonders of a red button...with a smiley face on it,post86.png,MannyDL34,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
87,Carly and Ramsey having fun together at the lake! Warm weather and fun times☀️,post87.png,sweetpea,-5:49:25,,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
88,Spring has sprung at Carolina!🌸,post88.png,sweetpea,-5:51:12,,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
89,Dressing up to go nowhere ;),post89.png,livymilly,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
90,I wish sunsets lasted longer :(,post90.png,livymilly,-5:49:25,,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
91,"It’s 2010, you’re trading silly bandz on the playground and playing Four Square on the blacktop with your squad #sillybandz #takemeback #2010",post91.png,kikokano,-5:51:12,,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
92,Late night food porn is a dangerous line to cross... #foodporn #latenightsnacks #latenightcravings #fries,post92.png,kikokano,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
93,A great end to a great day,post93.png,tarakha,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
94,Really missing these sweet friends and this wonderful place!,post94.png,tarakha,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
95,Absolutely obsessed with this album! What are you guys listening to,post95.png,ria_camiii,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
96,Missing the beach and my people ❤ pic by yours truly :),post96.png,ria_camiii,-7:14:21,,normal,,,,,,,,,,,,,,,,,,,,,-7:14:21
97,Early Christmas Dinner Coastal Style,post97.png,snowbird,-7:21:28,,normal,,,,,,,,,,,,,,,,,,,,,-7:21:28
98,Fast Cars and Freedom. Happy July 4th !,post98.png,snowbird,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
99,they had fun,post99.png,donuts4me,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
100,The Suite ™,post100.png,donuts4me,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
101,Sunshine on a Rainy Day 🌈☔🌷,post101.png,poolsey,-5:49:25,,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
102,Thinking of all of you!! Hope we can be together soon! 😘,post102.png,poolsey,-5:51:12,,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
103,A little windy up here <3,post103.png,janielee,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
104,Had the best time with my team this week! Hate to be headed home so soon but im so happy im bringing a gold medal with me!,post104.png,janielee,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
105,You talkin to me? #robertdeniro #taxidriver #rescuepup #cutenessoverload #snuggletime,post105.png,JuniperQ,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
106,1 am Cook Out runs with the best!,post106.png,JuniperQ,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
107,Sad to see the season end,post107.png,robeats,-7:14:21,,normal,,,,,,,,,,,,,,,,,,,,,-7:14:21
108,Watched this beautiful sunset in Phoenix today!,post108.png,robeats,-7:21:28,,normal,,,,,,,,,,,,,,,,,,,,,-7:21:28
109,Brought home our precious Archie today!! #welcometothefam,post109.png,sweetcakers,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
110,Just wanted to share the beautiful view from my window tonight!,post110.png,sweetcakers,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
111,just a cool guy :/,post111.png,pomipomi,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
112,tfw when you run into someone you don't talk to anymore :|,post112.png,pomipomi,-5:49:25,,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
114,Some of these places are beautiful at night. ...Hope I was allowed to be in here!,post114.png,kaykay027,-5:51:12,,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
118,omw,jh_post2.png,jhalll,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
120,1 year with this beautiful girl ❤️,cj_post2.png,jcoop,-5:49:25,,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
122,From the ground up,jphoto_post2.png,juan_photography,-5:51:12,,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
125,say cheese 📷🤍,lc_post2.png,laurenchou3,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
128,Had the privilege to go on a 2 day hiking trip in the outskirts of California- homie action shot 😤,post.dar.1.jpeg,dariank,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
129,my face before wiping out on black diamond,nathanpost1.jpeg,greatnathan_12,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
130,photo courtesy of @dariank - congrats Garrett on your engagement! Beer with the boys is now beer with the boys + Kasey,harrypost1.jpeg,harry_cost1991,-7:10:44,,normal,,,,,,,,,,,,,,,,,,,,,-7:10:44
131,"world, meet barry",willpost.1.jpeg,willjkares,-7:14:21,,normal,,,,,,,,,,,,,,,,,,,,,-7:14:21
132,calm before the storm,davidpost1.jpeg,davidplayshockey,-7:21:28,,normal,,,,,,,,,,,,,,,,,,,,,-7:21:28
133,had to do it to em 😤 peace out east high,ariapost1.jpeg,sharmathecharma,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
134,"[6.25] my queen 👑 28th bday, thanks for making it special 🥰",julianpost1.jpeg,julian.lifts,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
135,🥶💨,brandonpost1.jpeg,br.richards,-7:33:49,,normal,,,,,,,,,,,,,,,,,,,,,-7:33:49
136,looking extra clean today 💨,dompost1.jpeg,dommc1,-5:49:25,,normal,,,,,,,,,,,,,,,,,,,,,-5:49:25
137,ate carbs today #nationalpancakeday,victorpost1.jpeg,realvictorpatel,-5:51:12,,normal,,,,,,,,,,,,,,,,,,,,,-5:51:12
